2021/11/03 18:34:15 [error] 26#26: *2 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 172.21.0.1, server: frontend, request: "GET /arm/ HTTP/1.1", host: "127.0.0.1:8080"
2021/11/03 18:34:15 [error] 26#26: *1 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 172.21.0.1, server: frontend, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
2021/11/03 18:34:23 [error] 26#26: *3 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 172.21.0.1, server: frontend, request: "GET / HTTP/1.1", host: "127.0.0.1:8080"
2021/11/03 18:34:23 [error] 26#26: *4 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 172.21.0.1, server: frontend, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/"
2021/11/03 18:34:49 [error] 29#29: *6 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 172.21.0.1, server: frontend, request: "GET / HTTP/1.1", host: "127.0.0.1:8080"
2021/11/03 18:34:50 [error] 26#26: *5 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 172.21.0.1, server: frontend, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/"
2021/11/03 18:35:28 [error] 30#30: *2 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 172.21.0.1, server: frontend, request: "GET / HTTP/1.1", host: "127.0.0.1:8080"
2021/11/03 18:35:28 [error] 30#30: *1 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 172.21.0.1, server: frontend, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/"
2021/11/03 18:36:58 [error] 26#26: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: frontend, request: "POST /garm/api/login HTTP/1.1", upstream: "http://172.21.0.5:8080/garm/api/login", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
2021/11/03 18:37:00 [error] 26#26: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: frontend, request: "POST /garm/api/login HTTP/1.1", upstream: "http://172.21.0.5:8080/garm/api/login", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
2021/11/03 18:37:34 [error] 25#25: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: frontend, request: "POST /garm/api/login HTTP/1.1", upstream: "http://172.21.0.5:8080/garm/api", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
2021/11/03 18:40:34 [error] 24#24: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: frontend, request: "POST /garm/api/login HTTP/1.1", upstream: "http://127.0.0.1:8081/garm/api", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
2021/11/03 18:40:46 [error] 24#24: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: frontend, request: "POST /garm/api/login HTTP/1.1", upstream: "http://127.0.0.1:8081/garm/api", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
2021/11/03 18:40:47 [error] 24#24: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: frontend, request: "POST /garm/api/login HTTP/1.1", upstream: "http://127.0.0.1:8081/garm/api", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
2021/11/03 18:42:01 [error] 28#28: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: frontend, request: "POST /garm/api/login HTTP/1.1", upstream: "http://127.0.0.1:8081/garm/api", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
2021/11/03 18:42:12 [error] 28#28: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: frontend, request: "POST /garm/api/login HTTP/1.1", upstream: "http://127.0.0.1:8081/garm/api", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
2021/11/03 18:43:05 [error] 25#25: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: frontend, request: "POST /garm/api/login HTTP/1.1", upstream: "http://127.0.0.1:8081/garm/api", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
2021/11/03 18:43:06 [error] 25#25: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: frontend, request: "POST /garm/api/login HTTP/1.1", upstream: "http://127.0.0.1:8081/garm/api", host: "127.0.0.1:8080", referrer: "http://127.0.0.1:8080/arm/"
